nombre,categoria,precio,marca,precio_anterior,referencia,etiqueta,stock,descripcion,especificaciones
AMD Ryzen 5 5600,Procesador,2200,AMD,,100-100000927BOX,,25,"Procesador confiable de 6 núcleos, ideal para gaming 1080p y uso general.","Socket: AM4
Núcleos: 6 / Hilos: 12
Frecuencia: 3.5-4.4 GHz
TDP: 65W
Caché L3: 32MB"
AMD Ryzen 5 7600,Procesador,3800,AMD,,100-100001015BOX,,20,Procesador AM5 de 6 núcleos con gran eficiencia para gaming y productividad.,"Socket: AM5
Núcleos: 6 / Hilos: 12
Frecuencia: 3.8-5.1 GHz
TDP: 65W
Caché L3: 32MB"
AMD Ryzen 5 7600X,Procesador,4500,AMD,,100-100000593WOF,HOT,18,"Versión desbloqueada del 7600, mayor frecuencia para overclocking.","Socket: AM5
Núcleos: 6 / Hilos: 12
Frecuencia: 4.7-5.3 GHz
TDP: 105W
Caché L3: 32MB"
AMD Ryzen 7 5700X,Procesador,3300,AMD,,100-100000926WOF,,15,8 núcleos de alto rendimiento para gaming y creación de contenido en AM4.,"Socket: AM4
Núcleos: 8 / Hilos: 16
Frecuencia: 3.4-4.6 GHz
TDP: 65W
Caché L3: 32MB"
AMD Ryzen 7 7700,Procesador,5400,AMD,,100-100001056BOX,,14,Excelente balance de eficiencia y rendimiento en 8 núcleos para AM5.,"Socket: AM5
Núcleos: 8 / Hilos: 16
Frecuencia: 3.8-5.3 GHz
TDP: 65W
Caché L3: 32MB"
AMD Ryzen 7 7700X,Procesador,6200,AMD,,100-100000591WOF,,12,Mayor frecuencia que el 7700 para quienes buscan el máximo rendimiento gaming.,"Socket: AM5
Núcleos: 8 / Hilos: 16
Frecuencia: 4.5-5.4 GHz
TDP: 105W
Caché L3: 32MB"
AMD Ryzen 7 9700X,Procesador,6800,AMD,,100-100001514WOF,NUEVO,10,Arquitectura Zen 5 de nueva generación con mejoras de IPC notables.,"Socket: AM5
Núcleos: 8 / Hilos: 16
Frecuencia: 3.8-5.5 GHz
TDP: 65W
Caché L3: 32MB"
AMD Ryzen 9 7900X,Procesador,8900,AMD,,100-100000589WOF,,8,12 núcleos para creadores de contenido y gamers exigentes.,"Socket: AM5
Núcleos: 12 / Hilos: 24
Frecuencia: 4.7-5.6 GHz
TDP: 170W
Caché L3: 64MB"
AMD Ryzen 9 7950X,Procesador,11200,AMD,,100-100000514WOF,,6,16 núcleos insignia para las cargas de trabajo más demandantes.,"Socket: AM5
Núcleos: 16 / Hilos: 32
Frecuencia: 4.5-5.7 GHz
TDP: 170W
Caché L3: 64MB"
AMD Ryzen 9 7950X3D,Procesador,9899,AMD,11200,100-100000908WOF,,7,Caché 3D V-Cache que domina en gaming sin sacrificar productividad.,"Socket: AM5
Núcleos: 16 / Hilos: 32
Frecuencia: 4.2-5.7 GHz
TDP: 120W
Caché L3: 128MB"
AMD Ryzen 9 9950X3D,Procesador,13500,AMD,,100-100001712WOF,NUEVO,5,Lo último de AMD: Zen 5 + 3D V-Cache para el mejor gaming del mercado.,"Socket: AM5
Núcleos: 16 / Hilos: 32
Frecuencia: 4.3-5.7 GHz
TDP: 170W
Caché L3: 128MB"
Intel Core i5-12400F,Procesador,2650,Intel,,BX8071512400F,,22,Excelente relación precio-rendimiento para armar tu primera PC gamer.,"Socket: LGA1700
Núcleos: 6 / Hilos: 12
Frecuencia: 2.5-4.4 GHz
TDP: 65W
Sin gráficos integrados"
Intel Core i5-13400F,Procesador,3400,Intel,,BX8071513400F,,20,10 núcleos híbridos (P+E) para gaming fluido y multitarea.,"Socket: LGA1700
Núcleos: 10 (6P+4E) / Hilos: 16
Frecuencia: 2.5-4.6 GHz
TDP: 65W"
Intel Core i5-14400F,Procesador,3700,Intel,,BX8071514400F,EN STOCK,18,Refresco de la generación 13 con ligeras mejoras de frecuencia.,"Socket: LGA1700
Núcleos: 10 (6P+4E) / Hilos: 16
Frecuencia: 2.5-4.7 GHz
TDP: 65W"
Intel Core i5-14600K,Procesador,5600,Intel,,BX8071514600K,,14,"Desbloqueado para overclocking, ideal para gaming en 1440p.","Socket: LGA1700
Núcleos: 14 (6P+8E) / Hilos: 20
Frecuencia: 3.5-5.3 GHz
TDP: 125W"
Intel Core i7-13700K,Procesador,8200,Intel,,BX8071513700K,,10,16 núcleos híbridos para gaming de alto nivel y producción de contenido.,"Socket: LGA1700
Núcleos: 16 (8P+8E) / Hilos: 24
Frecuencia: 3.4-5.4 GHz
TDP: 125W"
Intel Core i7-14700K,Procesador,8900,Intel,,BX8071514700K,HOT,9,"Más núcleos E que su predecesor, gran opción para streaming + gaming.","Socket: LGA1700
Núcleos: 20 (8P+12E) / Hilos: 28
Frecuencia: 3.4-5.6 GHz
TDP: 125W"
Intel Core i9-13900K,Procesador,11800,Intel,,BX8071513900K,,6,"El tope de gama de la generación 13, sin concesiones.","Socket: LGA1700
Núcleos: 24 (8P+16E) / Hilos: 32
Frecuencia: 3.0-5.8 GHz
TDP: 125W"
Intel Core i9-14900K,Procesador,11450,Intel,,BX8071514900K,HOT,5,El procesador más rápido de Intel para gaming y workstation.,"Socket: LGA1700
Núcleos: 24 (8P+16E) / Hilos: 32
Frecuencia: 3.2-6.0 GHz
TDP: 125W"
Intel Core Ultra 9 285K,Procesador,13900,Intel,,BX80771285K,NUEVO,4,Nueva arquitectura Arrow Lake con eficiencia energética mejorada.,"Socket: LGA1851
Núcleos: 24 (8P+16E) / Hilos: 24
Frecuencia: 3.7-5.7 GHz
TDP: 125W"
NVIDIA RTX 4060,Tarjeta Gráfica,6500,MSI,,RTX4060-8G-VENTUS2X,,20,Ideal para 1080p alto con DLSS 3 y Frame Generation.,"VRAM: 8GB GDDR6
Bus: 128-bit
CUDA Cores: 3072
Consumo: 115W
Salidas: 3x DP, 1x HDMI"
NVIDIA RTX 4060 Ti,Tarjeta Gráfica,8900,ASUS,,DUAL-RTX4060TI-O8G,,16,Rendimiento sólido en 1440p con buena eficiencia energética.,"VRAM: 8GB GDDR6
Bus: 128-bit
CUDA Cores: 4352
Consumo: 160W
Salidas: 3x DP, 1x HDMI"
NVIDIA RTX 4070,Tarjeta Gráfica,11800,Gigabyte,,GV-N4070EAGLE-12GD,,12,El punto dulce para 1440p ultra con ray tracing activado.,"VRAM: 12GB GDDR6X
Bus: 192-bit
CUDA Cores: 5888
Consumo: 200W
Salidas: 3x DP, 1x HDMI"
NVIDIA RTX 4070 Super,Tarjeta Gráfica,13200,MSI,,RTX4070S-12G-GAMINGX,NUEVO,10,Versión mejorada del 4070 con más núcleos CUDA.,"VRAM: 12GB GDDR6X
Bus: 192-bit
CUDA Cores: 7168
Consumo: 220W
Salidas: 3x DP, 1x HDMI"
NVIDIA RTX 4070 Ti,Tarjeta Gráfica,14600,ASUS,,TUF-RTX4070TI-O12G,,9,Gaming en 1440p/4K con todos los efectos activados.,"VRAM: 12GB GDDR6X
Bus: 192-bit
CUDA Cores: 7680
Consumo: 285W
Salidas: 3x DP, 1x HDMI"
NVIDIA RTX 4070 Ti Super,Tarjeta Gráfica,15200,MSI,,RTX4070TIS-16G,,8,16GB de VRAM para 4K con margen a futuro.,"VRAM: 16GB GDDR6X
Bus: 256-bit
CUDA Cores: 8448
Consumo: 285W
Salidas: 3x DP, 1x HDMI"
