nombre,categoria,precio,marca,precio_anterior,referencia,etiqueta,stock,descripcion_secciones,especificaciones,info_marca
AMD Ryzen 5 5600,Procesador,2200,AMD,,100-100000927BOX,,25,"Descripción general | AMD Ryzen 5 5600: Procesador confiable de 6 núcleos, ideal para gaming 1080p y uso general. || Rendimiento y arquitectura | El AMD Ryzen 5 5600 ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador AMD es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=AM4; Núcleos=6 / Hilos - 12; Frecuencia=3.5-4.4 GHz; TDP=65W; Caché L3=32MB || General: Marca=AMD; Categoría=Procesador; Garantía=12 meses,"AMD es líder mundial en procesadores y tarjetas gráficas de alto rendimiento. Reconocida por su arquitectura Zen y RDNA, ofrece excelente relación precio-rendimiento para gaming y productividad profesional."
AMD Ryzen 5 7600,Procesador,3800,AMD,,100-100001015BOX,,20,"Descripción general | AMD Ryzen 5 7600: Procesador AM5 de 6 núcleos con gran eficiencia para gaming y productividad. || Rendimiento y arquitectura | El AMD Ryzen 5 7600 ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador AMD es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=AM5; Núcleos=6 / Hilos - 12; Frecuencia=3.8-5.1 GHz; TDP=65W; Caché L3=32MB || General: Marca=AMD; Categoría=Procesador; Garantía=12 meses,"AMD es líder mundial en procesadores y tarjetas gráficas de alto rendimiento. Reconocida por su arquitectura Zen y RDNA, ofrece excelente relación precio-rendimiento para gaming y productividad profesional."
AMD Ryzen 5 7600X,Procesador,4500,AMD,,100-100000593WOF,HOT,18,"Descripción general | AMD Ryzen 5 7600X: Versión desbloqueada del 7600, mayor frecuencia para overclocking. || Rendimiento y arquitectura | El AMD Ryzen 5 7600X ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador AMD es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=AM5; Núcleos=6 / Hilos - 12; Frecuencia=4.7-5.3 GHz; TDP=105W; Caché L3=32MB || General: Marca=AMD; Categoría=Procesador; Garantía=12 meses,"AMD es líder mundial en procesadores y tarjetas gráficas de alto rendimiento. Reconocida por su arquitectura Zen y RDNA, ofrece excelente relación precio-rendimiento para gaming y productividad profesional."
AMD Ryzen 7 5700X,Procesador,3300,AMD,,100-100000926WOF,,15,"Descripción general | AMD Ryzen 7 5700X: 8 núcleos de alto rendimiento para gaming y creación de contenido en AM4. || Rendimiento y arquitectura | El AMD Ryzen 7 5700X ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador AMD es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=AM4; Núcleos=8 / Hilos - 16; Frecuencia=3.4-4.6 GHz; TDP=65W; Caché L3=32MB || General: Marca=AMD; Categoría=Procesador; Garantía=12 meses,"AMD es líder mundial en procesadores y tarjetas gráficas de alto rendimiento. Reconocida por su arquitectura Zen y RDNA, ofrece excelente relación precio-rendimiento para gaming y productividad profesional."
AMD Ryzen 7 7700,Procesador,5400,AMD,,100-100001056BOX,,14,"Descripción general | AMD Ryzen 7 7700: Excelente balance de eficiencia y rendimiento en 8 núcleos para AM5. || Rendimiento y arquitectura | El AMD Ryzen 7 7700 ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador AMD es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=AM5; Núcleos=8 / Hilos - 16; Frecuencia=3.8-5.3 GHz; TDP=65W; Caché L3=32MB || General: Marca=AMD; Categoría=Procesador; Garantía=12 meses,"AMD es líder mundial en procesadores y tarjetas gráficas de alto rendimiento. Reconocida por su arquitectura Zen y RDNA, ofrece excelente relación precio-rendimiento para gaming y productividad profesional."
AMD Ryzen 7 7700X,Procesador,6200,AMD,,100-100000591WOF,,12,"Descripción general | AMD Ryzen 7 7700X: Mayor frecuencia que el 7700 para quienes buscan el máximo rendimiento gaming. || Rendimiento y arquitectura | El AMD Ryzen 7 7700X ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador AMD es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=AM5; Núcleos=8 / Hilos - 16; Frecuencia=4.5-5.4 GHz; TDP=105W; Caché L3=32MB || General: Marca=AMD; Categoría=Procesador; Garantía=12 meses,"AMD es líder mundial en procesadores y tarjetas gráficas de alto rendimiento. Reconocida por su arquitectura Zen y RDNA, ofrece excelente relación precio-rendimiento para gaming y productividad profesional."
AMD Ryzen 7 9700X,Procesador,6800,AMD,,100-100001514WOF,NUEVO,10,"Descripción general | AMD Ryzen 7 9700X: Arquitectura Zen 5 de nueva generación con mejoras de IPC notables. || Rendimiento y arquitectura | El AMD Ryzen 7 9700X ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador AMD es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=AM5; Núcleos=8 / Hilos - 16; Frecuencia=3.8-5.5 GHz; TDP=65W; Caché L3=32MB || General: Marca=AMD; Categoría=Procesador; Garantía=12 meses,"AMD es líder mundial en procesadores y tarjetas gráficas de alto rendimiento. Reconocida por su arquitectura Zen y RDNA, ofrece excelente relación precio-rendimiento para gaming y productividad profesional."
AMD Ryzen 9 7900X,Procesador,8900,AMD,,100-100000589WOF,,8,"Descripción general | AMD Ryzen 9 7900X: 12 núcleos para creadores de contenido y gamers exigentes. || Rendimiento y arquitectura | El AMD Ryzen 9 7900X ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador AMD es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=AM5; Núcleos=12 / Hilos - 24; Frecuencia=4.7-5.6 GHz; TDP=170W; Caché L3=64MB || General: Marca=AMD; Categoría=Procesador; Garantía=12 meses,"AMD es líder mundial en procesadores y tarjetas gráficas de alto rendimiento. Reconocida por su arquitectura Zen y RDNA, ofrece excelente relación precio-rendimiento para gaming y productividad profesional."
AMD Ryzen 9 7950X,Procesador,11200,AMD,,100-100000514WOF,,6,"Descripción general | AMD Ryzen 9 7950X: 16 núcleos insignia para las cargas de trabajo más demandantes. || Rendimiento y arquitectura | El AMD Ryzen 9 7950X ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador AMD es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=AM5; Núcleos=16 / Hilos - 32; Frecuencia=4.5-5.7 GHz; TDP=170W; Caché L3=64MB || General: Marca=AMD; Categoría=Procesador; Garantía=12 meses,"AMD es líder mundial en procesadores y tarjetas gráficas de alto rendimiento. Reconocida por su arquitectura Zen y RDNA, ofrece excelente relación precio-rendimiento para gaming y productividad profesional."
AMD Ryzen 9 7950X3D,Procesador,9899,AMD,11200,100-100000908WOF,,7,"Descripción general | AMD Ryzen 9 7950X3D: Caché 3D V-Cache que domina en gaming sin sacrificar productividad. || Rendimiento y arquitectura | El AMD Ryzen 9 7950X3D ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador AMD es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=AM5; Núcleos=16 / Hilos - 32; Frecuencia=4.2-5.7 GHz; TDP=120W; Caché L3=128MB || General: Marca=AMD; Categoría=Procesador; Garantía=12 meses,"AMD es líder mundial en procesadores y tarjetas gráficas de alto rendimiento. Reconocida por su arquitectura Zen y RDNA, ofrece excelente relación precio-rendimiento para gaming y productividad profesional."
AMD Ryzen 9 9950X3D,Procesador,13500,AMD,,100-100001712WOF,NUEVO,5,"Descripción general | AMD Ryzen 9 9950X3D: Lo último de AMD: Zen 5 + 3D V-Cache para el mejor gaming del mercado. || Rendimiento y arquitectura | El AMD Ryzen 9 9950X3D ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador AMD es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=AM5; Núcleos=16 / Hilos - 32; Frecuencia=4.3-5.7 GHz; TDP=170W; Caché L3=128MB || General: Marca=AMD; Categoría=Procesador; Garantía=12 meses,"AMD es líder mundial en procesadores y tarjetas gráficas de alto rendimiento. Reconocida por su arquitectura Zen y RDNA, ofrece excelente relación precio-rendimiento para gaming y productividad profesional."
